merchant,week_start,revenue_gained,revenue_lost,coupons_used
Merchant 17,2025-10-06,35570.09,1688.96,"{'NONE','SAVE10','WELCOME'}"
Merchant 17,2025-10-13,32431.42,1742.3,"{'NONE','SAVE10','WELCOME'}"
Merchant 17,2025-10-20,35546.06,1831.14,"{'NONE','SAVE10','WELCOME'}"
Merchant 17,2025-10-27,32466.84,1610.98,"{'NONE','SAVE10','WELCOME'}"
Merchant 17,2025-11-03,30134.44,1609.9,"{'NONE','SAVE10','WELCOME'}"
Merchant 18,2025-09-08,28923.27,1473.28,"{'NONE','SAVE10','WELCOME'}"
Merchant 18,2025-09-15,39498.69,2155.15,"{'NONE','SAVE10','WELCOME'}"
Merchant 18,2025-09-22,37049.1,1918.19,"{'NONE','SAVE10','WELCOME'}"
Merchant 18,2025-09-29,37554.23,2002.65,"{'NONE','SAVE10','WELCOME'}"
Merchant 18,2025-10-06,39820.96,2068.71,"{'NONE','SAVE10','WELCOME'}"
Merchant 18,2025-10-13,34216.38,2071.83,"{'NONE','SAVE10','WELCOME'}"
Merchant 18,2025-10-20,31594.53,1924.53,"{'NONE','SAVE10','WELCOME'}"
Merchant 18,2025-10-27,35387.72,1963.75,"{'NONE','SAVE10','WELCOME'}"
Merchant 18,2025-11-03,30875.99,1577.98,"{'NONE','SAVE10','WELCOME'}"
Merchant 19,2025-09-08,30995.24,1642.45,"{'NONE','SAVE10','WELCOME'}"
Merchant 19,2025-09-15,40965.07,2069.56,"{'NONE','SAVE10','WELCOME'}"
Merchant 19,2025-09-22,43318.88,2425.01,"{'NONE','SAVE10','WELCOME'}"
Merchant 19,2025-09-29,44324.06,2454.45,"{'NONE','SAVE10','WELCOME'}"
Merchant 19,2025-10-06,47547.56,2298.47,"{'NONE','SAVE10','WELCOME'}"
Merchant 19,2025-10-13,41032.71,1931.3,"{'NONE','SAVE10','WELCOME'}"
Merchant 19,2025-10-20,43090.37,2343.49,"{'NONE','SAVE10','WELCOME'}"
Merchant 19,2025-10-27,35462.62,1911.08,"{'NONE','SAVE10','WELCOME'}"
Merchant 19,2025-11-03,35100.34,2018.89,"{'NONE','SAVE10','WELCOME'}"
Merchant 2,2025-09-08,24942.06,1392.37,"{'NONE','SAVE10','WELCOME'}"
Merchant 2,2025-09-15,35257,1729.64,"{'NONE','SAVE10','WELCOME'}"
Merchant 2,2025-09-22,36188.59,2087.75,"{'NONE','SAVE10','WELCOME'}"
Merchant 2,2025-09-29,33007.08,1548.84,"{'NONE','SAVE10','WELCOME'}"
Merchant 2,2025-10-06,32480.99,1626.25,"{'NONE','SAVE10','WELCOME'}"
Merchant 2,2025-10-13,29362.27,1519.1,"{'NONE','SAVE10','WELCOME'}"
Merchant 2,2025-10-20,32265.83,1789.48,"{'NONE','SAVE10','WELCOME'}"
Merchant 2,2025-10-27,31508.73,1580.21,"{'NONE','SAVE10','WELCOME'}"
Merchant 2,2025-11-03,29022.1,1588.28,"{'NONE','SAVE10','WELCOME'}"
Merchant 20,2025-09-08,11281.94,487.27,"{'NONE','SAVE10','WELCOME'}"
Merchant 20,2025-09-15,13055.61,710.99,"{'NONE','SAVE10','WELCOME'}"
Merchant 20,2025-09-22,11144.25,599.71,"{'NONE','SAVE10','WELCOME'}"
Merchant 20,2025-09-29,14845.26,820.33,"{'NONE','SAVE10','WELCOME'}"
Merchant 20,2025-10-06,14825.24,788.39,"{'NONE','SAVE10','WELCOME'}"
Merchant 20,2025-10-13,14924.11,768.43,"{'NONE','SAVE10','WELCOME'}"
Merchant 20,2025-10-20,15862.71,842.78,"{'NONE','SAVE10','WELCOME'}"
Merchant 20,2025-10-27,14190.36,740.85,"{'NONE','SAVE10','WELCOME'}"
Merchant 20,2025-11-03,9243.26,429.14,"{'NONE','SAVE10','WELCOME'}"
Merchant 3,2025-09-08,26518.37,1439.34,"{'NONE','SAVE10','WELCOME'}"
Merchant 3,2025-09-15,35177.02,1681.21,"{'NONE','SAVE10','WELCOME'}"
Merchant 3,2025-09-22,40263.06,2141.78,"{'NONE','SAVE10','WELCOME'}"
Merchant 3,2025-09-29,41141.65,2148.99,"{'NONE','SAVE10','WELCOME'}"
Merchant 3,2025-10-06,40541.72,2104.01,"{'NONE','SAVE10','WELCOME'}"
Merchant 3,2025-10-13,41255.93,2092.53,"{'NONE','SAVE10','WELCOME'}"
Merchant 3,2025-10-20,36133.8,1982.47,"{'NONE','SAVE10','WELCOME'}"
Merchant 3,2025-10-27,42971.39,2311.71,"{'NONE','SAVE10','WELCOME'}"
Merchant 3,2025-11-03,29777.48,1584.57,"{'NONE','SAVE10','WELCOME'}"
Merchant 4,2025-09-08,22402.3,1229.93,"{'NONE','SAVE10','WELCOME'}"
Merchant 4,2025-09-15,21997.63,1286.21,"{'NONE','SAVE10','WELCOME'}"
Merchant 4,2025-09-22,29942.46,1622.92,"{'NONE','SAVE10','WELCOME'}"
Merchant 4,2025-09-29,29723.02,1662.61,"{'NONE','SAVE10','WELCOME'}"
Merchant 4,2025-10-06,24521.58,1287.24,"{'NONE','SAVE10','WELCOME'}"
Merchant 4,2025-10-13,25402.18,1320.76,"{'NONE','SAVE10','WELCOME'}"
Merchant 4,2025-10-20,29201.96,1532.53,"{'NONE','SAVE10','WELCOME'}"
Merchant 4,2025-10-27,26912.28,1383.2,"{'NONE','SAVE10','WELCOME'}"
Merchant 4,2025-11-03,18285.32,920.61,"{'NONE','SAVE10','WELCOME'}"
Merchant 5,2025-09-08,18572,974.51,"{'NONE','SAVE10','WELCOME'}"
Merchant 5,2025-09-15,31945.8,1822.88,"{'NONE','SAVE10','WELCOME'}"
Merchant 5,2025-09-22,34897.36,1969.46,"{'NONE','SAVE10','WELCOME'}"
Merchant 5,2025-09-29,32595.76,1814.48,"{'NONE','SAVE10','WELCOME'}"
Merchant 5,2025-10-06,28559.62,1508.96,"{'NONE','SAVE10','WELCOME'}"
Merchant 5,2025-10-13,29142.73,1503.44,"{'NONE','SAVE10','WELCOME'}"
Merchant 5,2025-10-20,32708.82,1843.44,"{'NONE','SAVE10','WELCOME'}"
Merchant 5,2025-10-27,32588.34,1761.06,"{'NONE','SAVE10','WELCOME'}"
Merchant 5,2025-11-03,25507.5,1243.01,"{'NONE','SAVE10','WELCOME'}"
Merchant 6,2025-09-08,22267.8,1205.56,"{'NONE','SAVE10','WELCOME'}"
Merchant 6,2025-09-15,28320.01,1616.56,"{'NONE','SAVE10','WELCOME'}"
Merchant 6,2025-09-22,29170.85,1680.65,"{'NONE','SAVE10','WELCOME'}"
Merchant 6,2025-09-29,31078.17,1519.93,"{'NONE','SAVE10','WELCOME'}"
Merchant 6,2025-10-06,29230.76,1465.35,"{'NONE','SAVE10','WELCOME'}"
Merchant 6,2025-10-13,27296.18,1312.89,"{'NONE','SAVE10','WELCOME'}"
Merchant 6,2025-10-20,26656.95,1444.69,"{'NONE','SAVE10','WELCOME'}"
Merchant 6,2025-10-27,26488.55,1287.24,"{'NONE','SAVE10','WELCOME'}"
Merchant 6,2025-11-03,25418.38,1465.68,"{'NONE','SAVE10','WELCOME'}"
Merchant 7,2025-09-08,23591.21,1172.07,"{'NONE','SAVE10','WELCOME'}"
Merchant 7,2025-09-15,30427.88,1675.7,"{'NONE','SAVE10','WELCOME'}"
Merchant 7,2025-09-22,34956.42,1878.37,"{'NONE','SAVE10','WELCOME'}"
Merchant 7,2025-09-29,29864.51,1796.52,"{'NONE','SAVE10','WELCOME'}"
Merchant 7,2025-10-06,31221.48,1700.66,"{'NONE','SAVE10','WELCOME'}"
Merchant 7,2025-10-13,29957.81,1718.69,"{'NONE','SAVE10','WELCOME'}"
Merchant 7,2025-10-20,31405.51,1562.33,"{'NONE','SAVE10','WELCOME'}"
Merchant 7,2025-10-27,31053.83,1723.31,"{'NONE','SAVE10','WELCOME'}"
Merchant 7,2025-11-03,23790.59,1325.19,"{'NONE','SAVE10','WELCOME'}"
Merchant 8,2025-09-08,17262.03,930.3,"{'NONE','SAVE10','WELCOME'}"
Merchant 8,2025-09-15,23014.17,1167.26,"{'NONE','SAVE10','WELCOME'}"
Merchant 8,2025-09-22,19828.7,1191.7,"{'NONE','SAVE10','WELCOME'}"
Merchant 8,2025-09-29,22468.25,1187.65,"{'NONE','SAVE10','WELCOME'}"
Merchant 8,2025-10-06,23378.59,1217.71,"{'NONE','SAVE10','WELCOME'}"
Merchant 8,2025-10-13,21452.47,1090.17,"{'NONE','SAVE10','WELCOME'}"
Merchant 8,2025-10-20,24947.37,1170.28,"{'NONE','SAVE10','WELCOME'}"
Merchant 8,2025-10-27,19394.98,879.31,"{'NONE','SAVE10','WELCOME'}"
Merchant 8,2025-11-03,20766.87,1108.12,"{'NONE','SAVE10','WELCOME'}"
Merchant 9,2025-09-08,21390.03,1204.27,"{'NONE','SAVE10','WELCOME'}"
Merchant 9,2025-09-15,26218.39,1340.8,"{'NONE','SAVE10','WELCOME'}"
Merchant 9,2025-09-22,30735.67,1555.84,"{'NONE','SAVE10','WELCOME'}"
Merchant 9,2025-09-29,29024.51,1437.51,"{'NONE','SAVE10','WELCOME'}"
Merchant 9,2025-10-06,26937.09,1509.75,"{'NONE','SAVE10','WELCOME'}"
Merchant 9,2025-10-13,22858.86,1117.38,"{'NONE','SAVE10','WELCOME'}"
Merchant 9,2025-10-20,25582.95,1466.3,"{'NONE','SAVE10','WELCOME'}"
Merchant 9,2025-10-27,30541.02,1304.77,"{'NONE','SAVE10','WELCOME'}"
Merchant 9,2025-11-03,22107.21,1215.71,"{'NONE','SAVE10','WELCOME'}"
