week_start,category,merchant,revenue_gained,revenue_lost
2025-10-27,Category 10,Merchant 17,921.48,61.65
2025-10-06,Category 7,Merchant 20,3506.24,163.5
2025-10-06,Category 1,Merchant 11,1223.03,88.86
2025-09-08,Category 9,Merchant 10,1048.81,49.36
2025-10-06,Category 10,Merchant 11,2470.8,99.46
2025-11-03,Category 9,Merchant 16,2091.97,92.58
2025-09-22,Category 6,Merchant 14,3453.28,150.64
2025-10-06,Category 8,Merchant 12,3457.63,144.27
2025-10-20,Category 6,Merchant 3,618.4,15.2
2025-10-27,Category 9,Merchant 16,1831.2,125.82
2025-10-06,Category 9,Merchant 12,5841.04,384.09
2025-10-06,Category 2,Merchant 15,2226.74,105.91
2025-10-13,Category 2,Merchant 7,14819.85,824.91
2025-10-06,Category 6,Merchant 4,1989.32,149.02
2025-10-27,Category 5,Merchant 10,5131.91,287.58
2025-09-15,Category 3,Merchant 8,985.39,33.47
2025-10-20,Category 5,Merchant 5,5966.86,313.47
2025-09-08,Category 6,Merchant 5,2365.89,128.13
2025-09-15,Category 6,Merchant 9,3526.94,142
2025-09-15,Category 9,Merchant 9,2725.07,157.23
2025-10-06,Category 1,Merchant 10,967.03,56.54
2025-09-22,Category 10,Merchant 11,2114.57,106.07
2025-10-06,Category 3,Merchant 15,3585.9,166.6
2025-09-22,Category 9,Merchant 19,2743.28,155.85
2025-10-20,Category 7,Merchant 6,3879.68,290.1
2025-10-13,Category 3,Merchant 6,2409.9,117.46
2025-09-15,Category 10,Merchant 16,784.6,56.31
2025-11-03,Category 9,Merchant 4,1667.59,58.18
2025-11-03,Category 1,Merchant 11,927.33,32.33
2025-09-22,Category 3,Merchant 13,3290.5,163.48
2025-10-13,Category 3,Merchant 10,1340.42,103.69
2025-11-03,Category 6,Merchant 14,2997.72,119.45
2025-10-13,Category 9,Merchant 8,1643.64,84.92
2025-11-03,Category 4,Merchant 17,3614.83,211.43
2025-10-13,Category 7,Merchant 1,1150.94,52.35
2025-09-22,Category 3,Merchant 4,3134.29,154.27
2025-10-13,Category 8,Merchant 3,5891.7,343.49
2025-11-03,Category 8,Merchant 3,4739.24,235.3
2025-11-03,Category 4,Merchant 7,447.65,23.55
2025-09-15,Category 8,Merchant 13,6295.97,287.19
2025-10-13,Category 7,Merchant 9,3647.74,131.14
2025-10-27,Category 10,Merchant 12,1701.83,115.77
2025-09-15,Category 2,Merchant 9,4102.69,266.76
2025-09-15,Category 4,Merchant 10,1665.87,111.24
2025-11-03,Category 7,Merchant 13,1173.73,53.82
2025-09-29,Category 8,Merchant 11,4063.42,194.84
2025-11-03,Category 7,Merchant 4,3345.03,156.15
2025-10-06,Category 7,Merchant 10,7074.15,475.53
2025-10-20,Category 8,Merchant 6,3535.81,191.35
2025-09-15,Category 2,Merchant 18,3398.4,194.37
2025-10-06,Category 7,Merchant 12,5007.25,281.02
2025-09-15,Category 10,Merchant 5,1501.28,73.6
2025-10-20,Category 2,Merchant 6,2898.17,148.58
2025-09-22,Category 5,Merchant 15,2786.92,120.54
2025-10-20,Category 2,Merchant 13,4847.71,219.43
2025-09-22,Category 4,Merchant 5,4091.05,286.71
2025-09-15,Category 4,Merchant 2,3983.12,232.21
2025-09-22,Category 2,Merchant 10,3565.93,189.3
2025-11-03,Category 9,Merchant 19,2139.63,112.17
2025-10-20,Category 6,Merchant 14,5222.72,295.42
2025-10-13,Category 2,Merchant 17,985.08,41.2
2025-10-13,Category 4,Merchant 13,2289.27,60.89
2025-09-08,Category 4,Merchant 2,3098.69,142.35
2025-09-29,Category 1,Merchant 15,6149.86,397.06
2025-09-08,Category 6,Merchant 11,2460.49,183.18
2025-11-03,Category 1,Merchant 8,2977.23,139.21
2025-09-15,Category 8,Merchant 1,491.4,25.47
2025-09-29,Category 9,Merchant 20,1813.26,125.47
2025-10-06,Category 9,Merchant 9,3244.94,194.78
2025-09-15,Category 3,Merchant 7,2338.02,111.16
2025-09-29,Category 3,Merchant 14,6309.91,345.32
2025-09-29,Category 9,Merchant 1,3908.85,176.95
2025-09-08,Category 7,Merchant 11,1716.05,71.34
2025-09-15,Category 3,Merchant 16,3806.59,176.2
2025-10-06,Category 10,Merchant 20,3407.62,162.26
2025-10-13,Category 9,Merchant 6,3576.28,159.89
2025-10-13,Category 10,Merchant 13,1811.93,73.95
2025-09-08,Category 1,Merchant 17,483.35,35.41
2025-10-06,Category 2,Merchant 7,13062.41,678.98
2025-09-08,Category 1,Merchant 2,740.66,10.02
2025-11-03,Category 2,Merchant 2,5655.34,281
2025-11-03,Category 7,Merchant 11,2586.14,149.25
2025-11-03,Category 4,Merchant 19,3802.7,137.03
2025-09-08,Category 4,Merchant 16,4545.45,265.88
2025-09-22,Category 3,Merchant 15,4131.08,235.54
2025-09-22,Category 9,Merchant 14,558.27,19.12
2025-10-13,Category 8,Merchant 5,4032.36,237.76
2025-10-27,Category 10,Merchant 19,1432.41,124.43
2025-09-08,Category 4,Merchant 7,1142.53,60.44
2025-10-06,Category 5,Merchant 14,10747.01,519.54
2025-10-27,Category 1,Merchant 3,3858.51,232.82
2025-09-08,Category 10,Merchant 16,525.37,41.41
2025-10-27,Category 9,Merchant 14,1402.22,95.77
2025-11-03,Category 1,Merchant 9,3125.49,164.57
2025-09-29,Category 5,Merchant 18,8100.9,394.55
2025-09-29,Category 2,Merchant 16,2178.39,91.19
2025-10-13,Category 7,Merchant 13,803.13,49.55
2025-11-03,Category 9,Merchant 10,370.8,33.15
2025-11-03,Category 9,Merchant 2,3665.59,227.02
2025-09-15,Category 3,Merchant 5,1851.16,106.82
2025-09-22,Category 6,Merchant 15,5220.33,222.81
2025-09-22,Category 6,Merchant 16,3414.26,147.41
2025-09-08,Category 6,Merchant 18,934.93,57.52
2025-09-22,Category 4,Merchant 11,4910.8,198.81
2025-10-06,Category 1,Merchant 7,3720.85,258.13
2025-09-29,Category 2,Merchant 4,3722.14,168.85
2025-09-29,Category 9,Merchant 5,6677,313.92
2025-10-20,Category 1,Merchant 10,984.43,45.27
2025-09-22,Category 5,Merchant 14,8570.12,472.02
2025-09-29,Category 2,Merchant 20,1556.62,100.53
2025-10-13,Category 8,Merchant 13,3858.81,236.27
2025-09-08,Category 2,Merchant 20,1163.87,64.59
2025-09-08,Category 6,Merchant 3,1065.6,18.47
2025-11-03,Category 9,Merchant 13,2842.96,82.93
2025-09-15,Category 6,Merchant 19,12490.42,619.6
2025-11-03,Category 5,Merchant 8,4681.12,267.59
2025-11-03,Category 8,Merchant 1,539.81,33.43
2025-09-08,Category 4,Merchant 18,5110.47,262.65
2025-09-08,Category 9,Merchant 14,908.08,34.16
2025-10-27,Category 3,Merchant 13,3585.96,198.3
2025-09-22,Category 4,Merchant 17,2331.61,141.84
2025-09-22,Category 8,Merchant 16,7515.88,383.53
2025-10-13,Category 2,Merchant 5,3151.72,149.93
2025-10-27,Category 8,Merchant 3,4937.96,199.17
2025-10-06,Category 10,Merchant 18,3031.85,154.59
2025-09-15,Category 4,Merchant 6,922.81,49.84
2025-10-13,Category 1,Merchant 15,5411.4,242.18
2025-09-22,Category 2,Merchant 3,2234.36,91.07
2025-10-06,Category 2,Merchant 17,2925.01,154.24
2025-09-15,Category 5,Merchant 16,3457.27,179.5
2025-09-08,Category 3,Merchant 8,124.13,13.8
2025-10-06,Category 2,Merchant 20,822.8,46.21
2025-09-08,Category 3,Merchant 9,2207.66,85.8
2025-09-22,Category 4,Merchant 8,1399.07,75.27
2025-09-29,Category 4,Merchant 14,9494.42,516.01
2025-10-20,Category 1,Merchant 11,840.75,29.52
2025-10-06,Category 3,Merchant 17,2368.57,113.2
2025-10-06,Category 6,Merchant 14,7140.78,351.49
2025-10-27,Category 4,Merchant 11,2789.53,167.24
2025-10-20,Category 10,Merchant 11,1330.76,99.91
2025-10-06,Category 7,Merchant 2,3198.39,108.3
2025-09-29,Category 4,Merchant 6,1074.31,48.17
2025-11-03,Category 9,Merchant 18,4643.65,222.66
2025-09-22,Category 10,Merchant 14,2509.09,127.55
2025-10-27,Category 1,Merchant 9,4998.34,238.94
2025-10-20,Category 3,Merchant 8,1382.85,69.01
2025-09-29,Category 10,Merchant 5,1234.54,99.88
2025-09-15,Category 5,Merchant 17,1256.06,64.73
2025-10-27,Category 2,Merchant 15,1583.35,95.46
2025-09-29,Category 1,Merchant 7,2851.62,219.81
2025-11-03,Category 7,Merchant 17,5563.74,295.43
2025-09-29,Category 1,Merchant 5,1635.99,76.99
2025-10-13,Category 8,Merchant 15,567.58,31.27
2025-10-27,Category 6,Merchant 2,4420.68,272.27
2025-09-08,Category 5,Merchant 3,1606.9,52.59
2025-10-20,Category 5,Merchant 16,5887.4,266.38
2025-09-22,Category 9,Merchant 18,4354.4,205.13
2025-10-27,Category 8,Merchant 18,1517.93,37.28
2025-10-06,Category 4,Merchant 10,743.03,43.26
2025-10-20,Category 3,Merchant 6,1320.87,32.3
2025-09-22,Category 9,Merchant 3,3910.15,223.35
2025-10-27,Category 2,Merchant 3,1958.73,117.26
2025-10-20,Category 7,Merchant 19,5160.38,255.83
2025-10-13,Category 9,Merchant 13,3080.42,145.11
2025-09-29,Category 7,Merchant 16,3240.33,147.79
2025-10-13,Category 7,Merchant 2,3306.09,161.74
2025-10-27,Category 3,Merchant 10,1979.57,124.65
2025-10-06,Category 5,Merchant 16,4486.65,243.09
2025-10-20,Category 2,Merchant 12,1464.89,84.14
2025-10-06,Category 9,Merchant 10,1616.58,54.27
2025-10-13,Category 2,Merchant 15,1719.05,74.52
2025-11-03,Category 3,Merchant 18,3024.2,170.7
2025-11-03,Category 8,Merchant 7,2722.93,156.24
2025-10-20,Category 10,Merchant 13,702.97,30.43
2025-11-03,Category 6,Merchant 9,2436.08,144.16
2025-09-15,Category 5,Merchant 10,2816.5,135.99
2025-09-29,Category 6,Merchant 14,7326.73,356.39
2025-09-29,Category 5,Merchant 3,2237.31,93.83
2025-10-27,Category 8,Merchant 17,4050.87,214.04
2025-09-15,Category 5,Merchant 13,4450.66,297.07
2025-10-13,Category 6,Merchant 13,4697.62,254.15
2025-09-22,Category 6,Merchant 9,4726.08,252.35
2025-09-22,Category 9,Merchant 2,4218.28,248.59
2025-11-03,Category 2,Merchant 13,4120.42,183.78
2025-09-15,Category 3,Merchant 19,3366.44,140.4
2025-10-20,Category 2,Merchant 17,2508.73,138.39
2025-10-13,Category 1,Merchant 17,1152.51,60.7
2025-10-13,Category 3,Merchant 2,3055.3,168.9
2025-09-08,Category 9,Merchant 4,2453.7,132.15
2025-09-29,Category 4,Merchant 3,4001.33,193.92
2025-10-27,Category 7,Merchant 18,4303.96,311
2025-09-29,Category 4,Merchant 4,3355.9,159.79
2025-09-08,Category 1,Merchant 10,1268.16,96.74
2025-09-29,Category 8,Merchant 2,3546.8,163.52
2025-10-06,Category 6,Merchant 6,2519.51,136.44
2025-10-06,Category 6,Merchant 2,4597.49,242.92
2025-09-22,Category 5,Merchant 20,358.02,39.79
2025-09-22,Category 1,Merchant 3,3033.75,159.29
2025-11-03,Category 2,Merchant 17,2154.36,134.52
2025-11-03,Category 5,Merchant 5,5211.65,283.58
2025-10-27,Category 2,Merchant 2,6461.25,289.11
2025-09-22,Category 3,Merchant 5,3164.73,158.49
2025-10-13,Category 8,Merchant 2,2597.04,88.73
2025-09-29,Category 8,Merchant 16,6555.66,364.37
2025-10-06,Category 4,Merchant 19,1718.16,111.67
2025-09-29,Category 2,Merchant 15,3267.27,206.16
2025-11-03,Category 1,Merchant 14,2603.8,140.92
2025-10-27,Category 8,Merchant 10,5821.76,329.37
2025-10-27,Category 4,Merchant 15,585.32,28.36
2025-09-22,Category 7,Merchant 19,3880.09,199.54
2025-09-22,Category 5,Merchant 19,10126.79,591.66
2025-10-20,Category 3,Merchant 13,2176.13,102.55
2025-09-29,Category 8,Merchant 6,4106.55,148.29
2025-09-29,Category 7,Merchant 6,3235.09,200.61
2025-09-15,Category 10,Merchant 12,1452.78,103.3
2025-09-15,Category 2,Merchant 10,3804.43,212.93
2025-09-29,Category 4,Merchant 12,7547.01,392.69
2025-09-08,Category 7,Merchant 18,3310.2,167.91
2025-09-29,Category 5,Merchant 11,1086.84,67.15
2025-09-08,Category 3,Merchant 15,3132.59,136.95
2025-09-08,Category 2,Merchant 18,1671.72,85.36
2025-09-22,Category 4,Merchant 7,1740.87,89.57
2025-10-20,Category 4,Merchant 2,5596.77,309.32
2025-09-29,Category 9,Merchant 12,6002.88,411.04
2025-10-13,Category 9,Merchant 9,1273.75,58.85
2025-10-27,Category 4,Merchant 18,4540.15,272.81
2025-09-22,Category 10,Merchant 17,1167.06,80.19
2025-10-27,Category 9,Merchant 19,1754.51,131.3
2025-09-15,Category 3,Merchant 9,2219.56,126.21
2025-10-27,Category 6,Merchant 4,1180.19,41.68
2025-09-15,Category 10,Merchant 13,824.44,38.54
2025-09-22,Category 8,Merchant 10,5235.89,355.69
