category,date_actual,merchant,avg_unit_price,avg_discount,avg_price_delta,coupons_used
Category 1,2025-09-12,Merchant 2,45.02,0,-51.15,{'NONE'}
Category 1,2025-09-12,Merchant 20,62.795,1.595,9.7,"{'NONE','WELCOME'}"
Category 1,2025-09-12,Merchant 3,45.648,2.892,-30.49,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-12,Merchant 5,76.885,5.44,60.49,"{'SAVE10','WELCOME'}"
Category 1,2025-09-12,Merchant 6,87.75,4.39,68.63,{'WELCOME'}
Category 1,2025-09-12,Merchant 7,55.69857142857143,2.6985714285714284,-27.96857142857143,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-12,Merchant 8,57.28,2.685,-29.275,"{'NONE','WELCOME'}"
Category 1,2025-09-12,Merchant 9,59.72,4,0.5566666666666666,"{'SAVE10','WELCOME'}"
Category 1,2025-09-13,Merchant 1,51.68333333333333,2.5966666666666667,19.426666666666666,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-13,Merchant 10,59.82,5.98,37.64,{'SAVE10'}
Category 1,2025-09-13,Merchant 11,10.91,0.55,-1.52,{'WELCOME'}
Category 1,2025-09-13,Merchant 12,5.33,0.53,-57.01,{'SAVE10'}
Category 1,2025-09-13,Merchant 14,68.95,2.605,-9.885,"{'NONE','SAVE10'}"
Category 1,2025-09-13,Merchant 15,70.48333333333333,2.818888888888889,14.423333333333334,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-13,Merchant 17,12.3,1.23,-39.55,{'SAVE10'}
Category 1,2025-09-13,Merchant 19,68.7325,2.63,-24.1325,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-13,Merchant 20,31.91,0.945,-20.535,"{'NONE','WELCOME'}"
Category 1,2025-09-13,Merchant 3,31.755,1.585,-44.275,{'WELCOME'}
Category 1,2025-09-13,Merchant 5,50.59,0.7,22.79,"{'NONE','WELCOME'}"
Category 1,2025-09-13,Merchant 6,91.26333333333334,4.566666666666666,71.97,{'WELCOME'}
Category 1,2025-09-13,Merchant 7,54.355,2.72,-14.91,{'WELCOME'}
Category 1,2025-09-13,Merchant 8,74.45,3.72,-12.11,{'WELCOME'}
Category 1,2025-09-13,Merchant 9,56.342,3.304,6.846,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-14,Merchant 1,14.22,0.965,-16.405,"{'SAVE10','WELCOME'}"
Category 1,2025-09-14,Merchant 10,76.45,5.14,55.11,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-14,Merchant 12,82.06,6.72,13.53,"{'SAVE10','WELCOME'}"
Category 1,2025-09-14,Merchant 13,52.91,0,35.96,{'NONE'}
Category 1,2025-09-14,Merchant 15,69.045,3.0083333333333333,19.183333333333334,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-14,Merchant 17,32.03,0,-18.59,{'NONE'}
Category 1,2025-09-14,Merchant 18,59.875,2.34,28.385,"{'NONE','WELCOME'}"
Category 1,2025-09-14,Merchant 19,56.73,2.84,-22.23,{'WELCOME'}
Category 1,2025-09-14,Merchant 2,97.38,4.87,-3.66,{'WELCOME'}
Category 1,2025-09-14,Merchant 20,60.555,6.055,3,{'SAVE10'}
Category 1,2025-09-14,Merchant 3,56.732,4.972,-23.884,"{'SAVE10','WELCOME'}"
Category 1,2025-09-14,Merchant 5,69.06,0,36.58,{'NONE'}
Category 1,2025-09-14,Merchant 6,22.66,1.13,6.8,{'WELCOME'}
Category 1,2025-09-14,Merchant 7,68.99,3.152,-9.712,"{'NONE','WELCOME'}"
Category 1,2025-09-14,Merchant 8,52.72,3.61,-15.07,"{'SAVE10','WELCOME'}"
Category 1,2025-09-14,Merchant 9,66.17,3.31,14.485,{'WELCOME'}
Category 1,2025-09-15,Merchant 1,77.3475,2.9525,44.735,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-15,Merchant 10,42.235,4.22,21.815,{'SAVE10'}
Category 1,2025-09-15,Merchant 13,16.57,0,-0.38,{'NONE'}
Category 1,2025-09-15,Merchant 15,70.66571428571429,5.351428571428571,23.815714285714286,"{'SAVE10','WELCOME'}"
Category 1,2025-09-15,Merchant 17,59.05,2.95,5.48,{'WELCOME'}
Category 1,2025-09-15,Merchant 18,53.553333333333335,1.29,23.113333333333333,"{'NONE','WELCOME'}"
Category 1,2025-09-15,Merchant 19,50.635,3.33,-28.815,"{'NONE','SAVE10'}"
Category 1,2025-09-15,Merchant 2,31.68,3.17,-67.66,{'SAVE10'}
Category 1,2025-09-15,Merchant 20,12.37,0,-39.13,{'NONE'}
Category 1,2025-09-15,Merchant 5,52.38875,3.34625,21.9425,"{'SAVE10','WELCOME'}"
Category 1,2025-09-15,Merchant 6,40.76,0,26.03,{'NONE'}
Category 1,2025-09-15,Merchant 7,53.43,2.263333333333333,-26.596666666666668,"{'NONE','WELCOME'}"
Category 1,2025-09-15,Merchant 8,57.5125,4.3175,-20.83,"{'SAVE10','WELCOME'}"
Category 1,2025-09-15,Merchant 9,45.66,2.285,0.55,{'WELCOME'}
Category 1,2025-09-16,Merchant 1,74.695,7.47,37.57,{'SAVE10'}
Category 1,2025-09-16,Merchant 10,80.675,4.035,60.44,{'WELCOME'}
Category 1,2025-09-16,Merchant 11,67.51333333333334,5.4366666666666665,50.196666666666665,"{'SAVE10','WELCOME'}"
Category 1,2025-09-16,Merchant 12,43.71,2.19,-20.29,{'WELCOME'}
Category 1,2025-09-16,Merchant 13,67.95,0,51,{'NONE'}
Category 1,2025-09-16,Merchant 14,32.47,1.62,-45.38,{'WELCOME'}
Category 1,2025-09-16,Merchant 15,63.59625,2.205,13.8125,"{'NONE','WELCOME'}"
Category 1,2025-09-16,Merchant 17,33.53,0.54,-17.63,"{'NONE','WELCOME'}"
Category 1,2025-09-16,Merchant 18,29.846666666666668,0.8466666666666667,-0.15,"{'NONE','WELCOME'}"
Category 1,2025-09-16,Merchant 19,66.10666666666667,3.2583333333333333,-14.818333333333333,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-16,Merchant 2,80.28,0,-15.89,{'NONE'}
Category 1,2025-09-16,Merchant 20,9.69,0.48,-42.29,{'WELCOME'}
Category 1,2025-09-16,Merchant 3,72.66,4.8825,-6.665,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-16,Merchant 5,31.12,3.11,17.05,{'SAVE10'}
Category 1,2025-09-16,Merchant 6,34.123333333333335,1.86,17.533333333333335,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-16,Merchant 7,65.928,1.574,-11.196,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-16,Merchant 8,25.05,1.1466666666666667,-68.60333333333334,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-16,Merchant 9,50.61,2.53,1.83,{'WELCOME'}
Category 1,2025-09-17,Merchant 10,55.36,5.54,33.62,{'SAVE10'}
Category 1,2025-09-17,Merchant 11,66.01,1.735,52.395,"{'NONE','WELCOME'}"
Category 1,2025-09-17,Merchant 12,11.94,0.6,-50.47,{'WELCOME'}
Category 1,2025-09-17,Merchant 15,52.36888888888889,2.9633333333333334,8.12888888888889,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-17,Merchant 17,6.23,0.31,-44.7,{'WELCOME'}
Category 1,2025-09-17,Merchant 18,40.03,0.43666666666666665,10.443333333333333,"{'NONE','WELCOME'}"
Category 1,2025-09-17,Merchant 19,26.685,1.9025,-41.8625,"{'SAVE10','WELCOME'}"
Category 1,2025-09-17,Merchant 2,51.69,4.895,-49.375,"{'SAVE10','WELCOME'}"
Category 1,2025-09-17,Merchant 20,20.42,1.02,-32.1,{'WELCOME'}
Category 1,2025-09-17,Merchant 3,80.13,2.31,-2.62,"{'NONE','WELCOME'}"
Category 1,2025-09-17,Merchant 5,73.83,3.692,39.81,{'WELCOME'}
Category 1,2025-09-17,Merchant 7,48.105,2.4075,-45.975,{'WELCOME'}
Category 1,2025-09-17,Merchant 8,64.82,2.13,-14.445,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-17,Merchant 9,74.908,3.746,38.464,{'WELCOME'}
Category 1,2025-09-18,Merchant 11,11.12,0.56,-1.32,{'WELCOME'}
Category 1,2025-09-18,Merchant 13,39.405,1.045,21.41,"{'NONE','SAVE10'}"
Category 1,2025-09-18,Merchant 14,66.32666666666667,2.72,-12.623333333333333,"{'NONE','WELCOME'}"
Category 1,2025-09-18,Merchant 15,45.461666666666666,2.1466666666666665,-1.86,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-18,Merchant 17,81.97,4.1,27.25,{'WELCOME'}
Category 1,2025-09-18,Merchant 18,36.87,1.84,5.88,{'WELCOME'}
Category 1,2025-09-18,Merchant 19,54.585,2.73,-10.085,{'WELCOME'}
Category 1,2025-09-18,Merchant 2,80.72333333333333,2.6333333333333333,-18.08,"{'NONE','WELCOME'}"
Category 1,2025-09-18,Merchant 20,56.205,5.62,-0.915,{'SAVE10'}
Category 1,2025-09-18,Merchant 3,58.2325,3.65,-22.86,"{'SAVE10','WELCOME'}"
Category 1,2025-09-18,Merchant 5,75.675,3.785,44.79,{'WELCOME'}
Category 1,2025-09-18,Merchant 7,64.16666666666667,3.8333333333333335,-2.5733333333333333,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-18,Merchant 8,61.112,3.056,-36.384,{'WELCOME'}
Category 1,2025-09-18,Merchant 9,33.215,1.97,-35.04,"{'NONE','SAVE10'}"
Category 1,2025-09-19,Merchant 11,54.625,2.73,40.015,{'WELCOME'}
Category 1,2025-09-19,Merchant 13,83.43,4.17,62.31,{'WELCOME'}
Category 1,2025-09-19,Merchant 14,47.62,0.9,-29.51,"{'NONE','WELCOME'}"
Category 1,2025-09-19,Merchant 15,64.77666666666667,6.273333333333333,-10.953333333333333,"{'SAVE10','WELCOME'}"
Category 1,2025-09-19,Merchant 18,100.99,5.05,66.79,{'WELCOME'}
Category 1,2025-09-19,Merchant 19,68.42333333333333,3.42,-23.663333333333334,{'WELCOME'}
Category 1,2025-09-19,Merchant 2,84.49,4.22,-15.9,{'WELCOME'}
Category 1,2025-09-19,Merchant 20,12.85,1.29,-39.94,{'SAVE10'}
Category 1,2025-09-19,Merchant 3,36.28666666666667,0.38333333333333336,-36.54333333333334,"{'NONE','WELCOME'}"
Category 1,2025-09-19,Merchant 5,43.958333333333336,1.84,15.02,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-19,Merchant 6,58.32,2.92,40.67,{'WELCOME'}
Category 1,2025-09-19,Merchant 7,69.23,5.7975,-5.955,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-19,Merchant 8,47.12,1.63,-32.16,"{'NONE','WELCOME'}"
Category 1,2025-09-19,Merchant 9,67.8,4.757142857142857,14.982857142857142,"{'SAVE10','WELCOME'}"
Category 1,2025-09-20,Merchant 1,95.96,9.6,56.7,{'SAVE10'}
Category 1,2025-09-20,Merchant 10,14.17,1.42,-3.45,{'SAVE10'}
Category 1,2025-09-20,Merchant 11,52.375,1.18,39.315,"{'NONE','WELCOME'}"
Category 1,2025-09-20,Merchant 12,7.71,0.77,-54.87,{'SAVE10'}
Category 1,2025-09-20,Merchant 13,52.46,0,35.51,{'NONE'}
Category 1,2025-09-20,Merchant 14,5.14,0,-71.09,{'NONE'}
Category 1,2025-09-20,Merchant 15,52.297,1.971,7.767,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-20,Merchant 18,65.58,3.28,33.15,{'WELCOME'}
Category 1,2025-09-20,Merchant 19,38.81333333333333,3.5533333333333332,-28.226666666666667,"{'SAVE10','WELCOME'}"
Category 1,2025-09-20,Merchant 2,35.185,1.76,-62.745,{'WELCOME'}
Category 1,2025-09-20,Merchant 20,22.766666666666666,1.6933333333333334,-30.426666666666666,"{'SAVE10','WELCOME'}"
Category 1,2025-09-20,Merchant 3,54.368,3.05,-19.53,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-20,Merchant 5,69.26333333333334,4.623333333333333,42.92,"{'NONE','SAVE10'}"
Category 1,2025-09-20,Merchant 6,50.62,5.06,30.83,{'SAVE10'}
Category 1,2025-09-20,Merchant 7,63.22222222222222,3.727777777777778,-29.436666666666667,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-20,Merchant 8,60.328,3.906,-29.318,"{'SAVE10','WELCOME'}"
Category 1,2025-09-20,Merchant 9,60.95,2.3525,5.6825,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-21,Merchant 1,41.52,0,11.86,{'NONE'}
Category 1,2025-09-21,Merchant 11,94.025,2.2575,79.8875,"{'NONE','WELCOME'}"
Category 1,2025-09-21,Merchant 12,39.62,1.98,-24.17,{'WELCOME'}
Category 1,2025-09-21,Merchant 13,79.37,2.36,60.06,"{'NONE','WELCOME'}"
Category 1,2025-09-21,Merchant 14,42.865,1.085,-34.45,"{'NONE','WELCOME'}"
Category 1,2025-09-21,Merchant 15,45.47,2.948,-4.456,"{'SAVE10','WELCOME'}"
Category 1,2025-09-21,Merchant 17,40.635,2.03,-12.015,{'WELCOME'}
Category 1,2025-09-21,Merchant 18,18.79,0.35,-10.71,"{'NONE','WELCOME'}"
Category 1,2025-09-21,Merchant 19,65.3825,5.105,-29.9575,"{'SAVE10','WELCOME'}"
Category 1,2025-09-21,Merchant 2,85.68,8.57,-19.06,{'SAVE10'}
Category 1,2025-09-21,Merchant 20,96.27,0,44.77,{'NONE'}
Category 1,2025-09-21,Merchant 3,58.64,2.51,-16.316666666666666,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-21,Merchant 5,55.50333333333333,1.685,26.718333333333334,"{'NONE','WELCOME'}"
Category 1,2025-09-21,Merchant 6,103.27,5.16,83.38,{'WELCOME'}
Category 1,2025-09-21,Merchant 7,29.605,2.035,-55.8,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-21,Merchant 8,50.725,2.6025,-9.8375,"{'NONE','SAVE10'}"
Category 1,2025-09-21,Merchant 9,54.534,3.068,5.29,"{'SAVE10','WELCOME'}"
Category 1,2025-09-22,Merchant 10,40.36,2.0166666666666666,22.143333333333334,{'WELCOME'}
Category 1,2025-09-22,Merchant 11,53.89,0,42.01,{'NONE'}
Category 1,2025-09-22,Merchant 12,37.42,0,-24.39,{'NONE'}
Category 1,2025-09-22,Merchant 14,14.885,0.745,-62.09,{'WELCOME'}
Category 1,2025-09-22,Merchant 15,56.192,1.578,-12.22,"{'NONE','WELCOME'}"
Category 1,2025-09-22,Merchant 18,49.06333333333333,2.9566666666666666,16.956666666666667,"{'NONE','SAVE10'}"
Category 1,2025-09-22,Merchant 19,100.78,5.04,0.8,{'WELCOME'}
Category 1,2025-09-22,Merchant 2,51.54,1.59,-46.22,"{'NONE','WELCOME'}"
Category 1,2025-09-22,Merchant 3,78.145,1.66,2.04,"{'NONE','WELCOME'}"
Category 1,2025-09-22,Merchant 5,34.91,1.82,5.99,"{'SAVE10','WELCOME'}"
Category 1,2025-09-22,Merchant 6,56.12,4.36,37.035,"{'SAVE10','WELCOME'}"
Category 1,2025-09-22,Merchant 7,56.998,3.56,-28.752,"{'SAVE10','WELCOME'}"
Category 1,2025-09-22,Merchant 8,41.375,3,-43.42166666666667,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-22,Merchant 9,54.797777777777775,3.942222222222222,1.7077777777777778,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-23,Merchant 11,44.306666666666665,3.1233333333333335,29.303333333333335,"{'SAVE10','WELCOME'}"
Category 1,2025-09-23,Merchant 13,9.16,0.46,-8.25,{'WELCOME'}
Category 1,2025-09-23,Merchant 14,100.34,5.02,19.09,{'WELCOME'}
Category 1,2025-09-23,Merchant 15,47.04666666666667,2.3533333333333335,-18.61,{'WELCOME'}
Category 1,2025-09-23,Merchant 17,83.26,4.01,28.63,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-23,Merchant 18,32.87,1.64,2.08,{'WELCOME'}
Category 1,2025-09-23,Merchant 19,50.78333333333333,1.4766666666666668,-23.633333333333333,"{'NONE','WELCOME'}"
Category 1,2025-09-23,Merchant 2,28.596666666666668,0.43,-68.00333333333333,"{'NONE','WELCOME'}"
Category 1,2025-09-23,Merchant 20,25.19,0.875,-27.185,"{'NONE','WELCOME'}"
Category 1,2025-09-23,Merchant 3,13.85,0.695,-61.29,{'WELCOME'}
Category 1,2025-09-23,Merchant 5,42.68,0.81,14.77,"{'NONE','WELCOME'}"
Category 1,2025-09-23,Merchant 6,66.55,6.655,45.165,{'SAVE10'}
Category 1,2025-09-23,Merchant 7,69.4,4.53,-27.75,"{'SAVE10','WELCOME'}"
Category 1,2025-09-23,Merchant 8,55.51,2.962,-26.14,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-23,Merchant 9,63.42,2.106666666666667,21.851666666666667,"{'NONE','WELCOME'}"
Category 1,2025-09-24,Merchant 1,71.8,3.59,38.55,{'WELCOME'}
Category 1,2025-09-24,Merchant 11,51.7,2.586666666666667,37.233333333333334,{'WELCOME'}
Category 1,2025-09-24,Merchant 12,48.45,1.61,-14.97,"{'NONE','WELCOME'}"
Category 1,2025-09-24,Merchant 13,56.495,5.145,34.4,"{'SAVE10','WELCOME'}"
Category 1,2025-09-24,Merchant 15,50.16571428571429,0.9342857142857143,-1.2142857142857142,"{'NONE','WELCOME'}"
Category 1,2025-09-24,Merchant 17,21.72,2.17,-31.07,{'SAVE10'}
Category 1,2025-09-24,Merchant 18,28.29,0.955,-1.815,"{'NONE','WELCOME'}"
Category 1,2025-09-24,Merchant 19,48.7,4.07,-45.605,"{'SAVE10','WELCOME'}"
Category 1,2025-09-24,Merchant 2,52.06,3.9975,-48.1075,"{'SAVE10','WELCOME'}"
Category 1,2025-09-24,Merchant 3,55.55,2.844,-25.336,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-24,Merchant 5,29.416666666666668,1.4733333333333334,6.223333333333334,{'WELCOME'}
Category 1,2025-09-24,Merchant 7,45.07,2.25,-1.44,{'WELCOME'}
Category 1,2025-09-24,Merchant 8,49.76,3.248,-26.376,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-24,Merchant 9,51.20285714285714,2.317142857142857,4.645714285714286,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-25,Merchant 1,68.11,5.865,32.585,"{'SAVE10','WELCOME'}"
Category 1,2025-09-25,Merchant 10,50.9825,3.4,31.3825,"{'SAVE10','WELCOME'}"
Category 1,2025-09-25,Merchant 12,54.55,2.73,-9.99,{'WELCOME'}
Category 1,2025-09-25,Merchant 13,38.655,0.56,21.145,"{'NONE','WELCOME'}"
Category 1,2025-09-25,Merchant 14,54.195,0,-22.035,{'NONE'}
Category 1,2025-09-25,Merchant 15,65.32833333333333,3.5933333333333333,-5.908333333333333,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-25,Merchant 17,59.64666666666667,2.5633333333333335,6.463333333333333,"{'NONE','WELCOME'}"
Category 1,2025-09-25,Merchant 18,23.11,1.4,-7.44,"{'SAVE10','WELCOME'}"
Category 1,2025-09-25,Merchant 19,81.6475,2.185,1.0225,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-25,Merchant 3,67.98666666666666,3.473333333333333,-7.933333333333334,"{'NONE','SAVE10'}"
Category 1,2025-09-25,Merchant 5,75.13,7.515,56.66,{'SAVE10'}
Category 1,2025-09-25,Merchant 6,71.75,2.0933333333333333,54.92666666666667,"{'NONE','WELCOME'}"
Category 1,2025-09-25,Merchant 7,64.6,4.16,-20.09,"{'SAVE10','WELCOME'}"
Category 1,2025-09-25,Merchant 8,41.535,3.53,-39.645,"{'SAVE10','WELCOME'}"
Category 1,2025-09-25,Merchant 9,47.37428571428571,2.045714285714286,-6.5928571428571425,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-26,Merchant 1,53.01,3.275,20.075,"{'SAVE10','WELCOME'}"
Category 1,2025-09-26,Merchant 10,69.9,3.495,50.205,{'WELCOME'}
Category 1,2025-09-26,Merchant 12,65.095,1.5225,1.7625,"{'NONE','WELCOME'}"
Category 1,2025-09-26,Merchant 13,25.99,1.3,7.74,{'WELCOME'}
Category 1,2025-09-26,Merchant 14,33.56,0,-42.67,{'NONE'}
Category 1,2025-09-26,Merchant 15,53.02,2.7945454545454544,-4.741818181818182,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-26,Merchant 17,20.37,0,-30.25,{'NONE'}
Category 1,2025-09-26,Merchant 18,62.1,3.11,29.85,{'WELCOME'}
Category 1,2025-09-26,Merchant 19,44.454,1.656,-40.85,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-26,Merchant 2,48.47,3.365,-51.065,"{'NONE','SAVE10'}"
Category 1,2025-09-26,Merchant 3,56.86142857142857,3.19,-19.917142857142856,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-26,Merchant 5,71.42,3.57,40.75,{'WELCOME'}
Category 1,2025-09-26,Merchant 6,67.6575,4.63,48.2975,"{'SAVE10','WELCOME'}"
Category 1,2025-09-26,Merchant 7,63.128571428571426,3.1671428571428573,-9.765714285714285,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-26,Merchant 8,75.0825,4.3875,-13.175,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-26,Merchant 9,58.468,2.86,9.474,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-27,Merchant 1,17.12,0.86,-13.4,{'WELCOME'}
Category 1,2025-09-27,Merchant 11,13.15,1.32,-0.05,{'SAVE10'}
Category 1,2025-09-27,Merchant 12,12.62,0.34,-49.53,"{'NONE','WELCOME'}"
Category 1,2025-09-27,Merchant 13,55.68333333333333,4.553333333333334,34.18,"{'SAVE10','WELCOME'}"
Category 1,2025-09-27,Merchant 14,78.53,3.93,-1.63,{'WELCOME'}
Category 1,2025-09-27,Merchant 15,42.495,3.205,9.7425,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-27,Merchant 17,41.18,1.6866666666666668,-11.126666666666667,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-27,Merchant 18,82.63,8.26,45.22,{'SAVE10'}
Category 1,2025-09-27,Merchant 19,49.67,2.48,-28.93,{'WELCOME'}
Category 1,2025-09-27,Merchant 2,29.32,2.545,-69.395,"{'SAVE10','WELCOME'}"
Category 1,2025-09-27,Merchant 20,70.57,2.015,17.055,"{'NONE','WELCOME'}"
Category 1,2025-09-27,Merchant 3,29.93,0,-50.51,{'NONE'}
Category 1,2025-09-27,Merchant 5,44.82333333333333,3.578333333333333,14.145,"{'SAVE10','WELCOME'}"
Category 1,2025-09-27,Merchant 7,42.58,1.8,-40.77333333333333,"{'NONE','WELCOME'}"
Category 1,2025-09-27,Merchant 8,67.80166666666666,5.4383333333333335,-14.6,"{'NONE','SAVE10'}"
Category 1,2025-09-27,Merchant 9,64.03125,3.90375,10.60875,"{'NONE','SAVE10','WELCOME'}"
Category 1,2025-09-28,Merchant 1,24.93,2.1,-6.83,"{'NONE','SAVE10'}"
Category 1,2025-09-28,Merchant 11,56.845,4.7175,40.2475,"{'SAVE10','WELCOME'}"
Category 1,2025-09-28,Merchant 12,83.59333333333333,6.723333333333334,15.06,"{'SAVE10','WELCOME'}"
Category 1,2025-09-28,Merchant 15,47.045,3.0275,-10.165,"{'SAVE10','WELCOME'}"
Category 1,2025-09-28,Merchant 17,80.62,4.03,25.97,{'WELCOME'}
Category 1,2025-09-28,Merchant 18,56.17,5.62,21.4,{'SAVE10'}
